(0,1,2,3,4,5) = (neutral, joy, sadness, fear, anger, surprise)

Text, emotion

"بتانے کو کچھ نہیں ہے! وہ صرف ایک آدمی ہے جس کے ساتھ میں کام کرتا ہوں!", 2
"تم اس کے ساتھ وقت گزار رہے ہو, اس کے ساتھ کچھ تو مثلا ہے! ", 3
"ٹھیک ہے، جوئے، اچھا سلوک کریں۔ کیا اس کے سینگ ہیں؟ ایک سینگ اور بالوں کا ٹوپی؟", 1
"رکو، کیا وہ چاک کھاتا ہے؟", 1
"بس، 'کیونکہ، میں نہیں چاہتا کہ وہ اس سے گزرے جس سے میں کارلو کے ساتھ گزرا ہوں- اوہ!", 2
"فکر مت کرو ٹھیک ہے, یہ ایک ڈیٹ نہیں ہے۔ صرف دو لوگ رات کے کھانے کے لئے باہر جا رہے ہیں", 0
"مجھے تو ڈیٹ ہی لگ رہی ہے", 0
"ٹھیک ہے، تو میں ہائی اسکول میں واپس آ گیا ہوں، میں کیفے ٹیریا کے بیچ میں کھڑا ہوں، اور مجھے احساس ہے کہ میں بالکل ننگا ہوں۔", 4
"اوہ, ہاں, یہ خواب تو دیکھا ہوا ہے", 0
"پھر میں نے نیچے دیکھا، اور مجھے احساس ہوا کہ وہاں ایک فون ہے۔", 0
"اس کی بجائے...؟", 0
"بلکل ٹھیک کہا", 0
"ایسا خواب کبھی نہیں دیکھا۔", 0
"نہیں.", 0
"اچانک فون بجنے لگتا ہے، اب پتہ نہیں کیا کروں، سب میری طرف دیکھنے لگتے ہیں۔", 3
"اور وہ پہلے تمہاری طرف نہیں دیکھ رہے تھے?!",5
"آخر میں، میں فون اٹھاتا ہوں، اور میری ماں بولتی ہے، جو کہ عجیب بات ہے کیونکہ اِنْہوں نے مجھے پہلے کبھی فون نہیں کیا۔", 5
"(غم زدہ) ہیلو۔", 2
"یہ آدمی ہیلو کہتا ہے, اور میں خود کو مارنا چاہتا ہوں۔", 1
"کیا تم ٹھیک ہو?", 2
"مجھے ایسا لگ رہا ہے, جسی کسی نے میرے گلے میں ہاتھ ڈال کے میری چوٹی انت کو باہر نکل کے میری گردن کے گرد بندہ دیا ہے ", 2
"کوکی؟", 0
"کیرول نے آج اپنا سامان باہر منتقل کر دیا ہے۔", 0
"اوہ۔", 0
"چلو میں تمہارے لئے کافی لاتی ہو", 0
"شکریہ.", 0
"آئے! آہ!", 2
"نہیں, نہیں کرو! میری اورا کو صاف کرنا بند کرو,میری اورا کو اکیلا چھوڑ دو, ٹھیک ہے!", 4
"ٹھیک ہے, گندے ہی رہو", 4
"میں ٹھیک ہو جاؤں گا، ٹھیک ہے؟ واقعی، میں امید کرتا ہوں کہ وہ بہت خوش رہے گی۔", 1
"نہیں تم نہیں کرتے۔", 0
"نہیں میں نہی کرتا, بھاڑ میں جائے, اس نے مجھے چوڑا تھا", 2
"اور تمھے کبھی پتہ ہی نہیں چلا کے وو ایک لیزبین تھی...", 5
"نہیں! ٹھیک ہے؟! ہر کوئی اس بات پر کیوں لگا رہتا ہے؟ وہ نہیں جانتی تھی، میں کیسے جانوں؟", 4
"کبھی کبھار مجھے خواہش ہوتی ہے کہ میں لیزبین ہوتی... کیا میں نے یہ اونچی آواز میں کہا؟", 1
"ٹھیک ہے، راس، دیکھو، میں جانتا ہوں کہ تم اس وقت تکلیف میں ہو، تم ناراض ہو، تمہیں تکلیف ہو رہی ہو۔ کیا میں تمہیں بتا سکتا ہوں کہ اس کا کیا جواب ہے؟", 2
"سٹرپ جوائنٹ! چلو، تم سنگل ہو! کچھ ہارمونز رکھو!", 0
"میں اکیلا نہیں رہنا چاہتا، ٹھیک ہے؟ میں صرف... میں صرف دوبارہ شادی کرنا چاہتا ہوں!", 2
"اور مجھے صرف ایک ملین ڈالر چاہیے!", 1
"ڑَیچل?!", 5
"وہ گود مونیکا, ہای! میں تمہاری بلڈنگ میں گئی تھی ور تم وہاں نہی تھی ور پھر ایک آدمی برے سی ہتھوڑے ک ساتھ نے مجھے بتایا کے تم یہاں ہوگی ور تم ہو!", 1
"کیا اپ کافی پسند کریں گی?", 0
"ڈیکیف۔", 0
"ٹھیک ہے، سب، یہ ریچل ہے، ایک اور لنکن ہائی سروائیور۔ یہ سب ہے، یہ چاندلر، اور فوبی، اور جوئی، اور- تمہیں میرا بھائی راس یاد ہے؟", 0
"ہیلو، ضرور!", 1
"تو, اب تم بتانا چاہو گی, یا ہم چار گیلی دلہنوں کا انتظار کر رہے ہیں", 1
"اوہ خدا... ٹھیک ہے، یہ شادی سے تقریباً آدھا گھنٹہ پہلے شروع ہوا تھا۔ میں اس کمرے میں تھا جہاں ہم تمام تحائف رکھے ہوئے تھے، اور میں اس گریوی بوٹ کو دیکھ رہا تھا۔ یہ واقعی خوبصورت Lamauge گریوی بوٹ۔ جب تمام اچانک- سویٹ 'این' لو؟- میں نے محسوس کیا کہ میں بیری کے مقابلے میں اس گریوی بوٹ سے زیادہ آن کر گیا ہوں! اور پھر میں واقعی پریشان ہو گیا، اور اس نے مجھے مارا: بیری کتنا مسٹر پوٹیٹو ہیڈ جیسا لگتا ہے؟ آپ جانتے ہیں، میرا مطلب ہے، میں جانتا تھا کہ میں ہمیشہ واقف نظر آتا تھا، لیکن... ویسے بھی، مجھے وہاں سے نکلنا ہی تھا، اور میں سوچنے لگا 'میں یہ کیوں کر رہا ہوں، اور میں یہ کس کے لیے کر رہا ہوں؟'۔ تو ویسے بھی میں نہیں جانتا تھا کہ کہاں جانا ہے، اور میں جانتا ہوں کہ آپ اور میں ایک دوسرے سے الگ ہو گئے ہیں، لیکن آپ واحد شخص ہیں جنہیں میں جانتا تھا جو یہاں شہر میں رہتا تھا۔", 1
"جسے شادی میں نہیں بلایا گیا تھا۔", 2
"وہ! میں امید کر رہی تھی ک یہ کوئی برا مسلا نہی ہوگا", 1
